справиться с грязью; взять грязь под контроль	des Drecks Herr werden	ein Problem bewältigen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
ожидается визит высокопоставленного политика	politisch hoher Besuch steht an	ein wichtiger Gast wird erwartet	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
вытеснить на окраину города	an den Stadtrand drängen	aus dem Zentrum verdrängen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
пользоваться большим уважением	hoch geachtet sein	großes Ansehen genießen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
быть вопросом социального положения	eine Frage des Standes sein	von der gesellschaftlichen Schicht abhängen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
быть на грани пригодности в пищу	an der Grenze der Genießbarkeit sein	kaum noch essbar sein	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
остерегаться чего-либо	sich vor etwas hüten	eine Gefahr bewusst meiden	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
не считаясь с чем-либо; невзирая на что-либо	ohne Rücksicht auf etwas	etwas nicht berücksichtigen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
попасть под подозрение	in Verdacht geraten	verdächtig werden	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
не подпускать что-либо к кому-либо; уберечь кого-либо от чего-либо	etwas von jemandem fernhalten	jmdn. vor einem Einfluss schützen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
ознаменовать конец эпохи	das Ende einer Epoche einläuten	einen historischen Abschluss ankündigen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
вжиться в роль; войти в образ	in eine Rolle schlüpfen	eine andere Figur verkörpern	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
быть отмеченным голодом, чумой и страхом	von Hunger, Pest und Angst geprägt sein	stark von Leid bestimmt sein	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
независимо от того, из какого источника что-либо происходит	unabhängig davon, aus welcher Quelle etwas stammt	die Herkunft spielt keine Rolle	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
бежать от действительности	der Wirklichkeit entfliehen	der realen Welt ausweichen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
отгородиться от действительности; уйти от реальности	sich der Wirklichkeit entziehen	die reale Welt nicht an sich heranlassen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
иметь представление о чём-либо; разбираться в чём-либо	Ahnung von etwas haben	über Grundkenntnisse verfügen	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
иметь причину в чём-либо; объясняться чем-либо	seine Ursache in etwas haben	darin begründet sein	form::redewendung func::produktion topic::vergangenheit_und_gegenwart level::c2 source::erkundungen::c2::k2 card::chunk
