легко справляться с чем-либо	sich leicht mit etwas tun	kaum Schwierigkeiten damit haben	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
добиваться выдающихся результатов	Spitzenleistungen erbringen	Außergewöhnliches vollbringen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
оспаривать определённую точку зрения	eine Sicht bestreiten	einer Auffassung widersprechen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
считать роль генов чрезвычайно переоценённой	die Rolle der Gene für maßlos überbewertet halten	den erblichen Einfluss stark relativieren	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
восходить к кому-либо, быть связанным с чьим-либо именем	auf jemanden zurückgehen	seinen Ursprung bei einer Person haben	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
разработать теорию наследования умственных задатков	eine Theorie zur Vererbung geistiger Anlagen entwickeln	ein Erklärungsmodell für erbliche Begabung ausarbeiten	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
подкрепить теорию сотнями исследований отдельных случаев	eine Theorie mit Hunderten Fallstudien belegen	viele Einzelfälle als Nachweis heranziehen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
прослеживаться через всю семейную историю	sich quer durch die Familiengeschichte ziehen	über viele Generationen erkennbar sein	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
при трезвом рассмотрении картина выглядит иначе	der nüchterne Blick ergibt ein anderes Bild	eine sachliche Prüfung führt zu einem abweichenden Befund	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
не обнаружить признаков высокой одарённости	keine Anzeichen einer Hochbegabung finden	nichts deutet auf außergewöhnliches Talent hin	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
доказательств пока нет	bislang fehlt der Beweis	die These ist bisher nicht nachgewiesen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
определять жизненный успех	über den Lebenserfolg entscheiden	für den späteren Werdegang ausschlaggebend sein	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
показать средний результат	mittelmäßig abschneiden	weder besonders gut noch schlecht bewertet werden	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
внести большой вклад в успех	einen großen Beitrag zum Erfolg leisten	wesentlich zu einem positiven Resultat beitragen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
при более внимательном рассмотрении	bei näherem Hinsehen	genauer betrachtet	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
достичь вершины, почти не тренируясь	es mit wenig Übung an die Spitze bringen	trotz geringer Praxis führend werden	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
войти в мировую элиту	in die Weltklasse vorstoßen	das höchste internationale Niveau erreichen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
не быть исключением	keine Ausnahme bilden	ebenfalls der allgemeinen Regel entsprechen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
служить ключом к успеху	als Schlüssel zum Erfolg dienen	einen entscheidenden Faktor darstellen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
стимулирующее окружение	ein stimulierendes Umfeld	förderliche äußere Bedingungen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
воспринимать неудачу как шанс	Scheitern als Chance begreifen	aus einem Misserfolg eine Möglichkeit ableiten	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
быть чистой случайностью	reine Glückssache sein	nur vom Zufall abhängen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
быть генетически предопределённым	genetisch vorbestimmt sein	durch das Erbgut festgelegt sein	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
решать проблемы в своей специфической среде обитания	Probleme in der spezifischen Umwelt meistern	Herausforderungen im eigenen Lebensraum bewältigen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
привлекать всё больше внимания	immer mehr Beachtung finden	zunehmend wahrgenommen werden	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
быть способным понять, что кто-либо замышляет	in der Lage sein zu erkennen, was jemand im Schilde führt	die verborgene Absicht eines anderen durchschauen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
заранее проигрывать ситуации в уме	Situationen vorab im Kopf durchspielen	mögliche Abläufe mental simulieren	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
преспокойно направиться к своей еде	seelenruhig zu seinem Snack spazieren	völlig gelassen dorthin gehen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
обладать высоким социальным интеллектом	über eine große soziale Intelligenz verfügen	andere Lebewesen besonders gut verstehen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
простых нейронных сетей достаточно	einfache neuronale Netzwerke reichen aus	wenige Nervenzellverbindungen genügen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
признавать за кем-либо экологический и социальный интеллект	jemandem eine ökologische und soziale Intelligenz zugestehen	einem Lebewesen komplexe Fähigkeiten zuerkennen	form::redewendung func::produktion topic::besonderes_und_gewöhnliches level::c2 source::erkundungen::c2::k6 card::chunk
