совмещать в себе что-либо	etwas in sich vereinen	mehrere Eigenschaften zugleich besitzen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
радовать глаз зрителя	das Auge des Betrachters erfreuen	ästhetisch angenehm wirken	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
основываться на восприятии, воображении и интуиции	auf Wahrnehmung, Vorstellung und Intuition gegründet sein	diese drei geistigen Grundlagen haben	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
определяться функциями	durch Funktionen festgelegt sein	einem eindeutigen Zweck unterliegen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
результат творческого процесса	das Ergebnis eines kreativen Prozesses	das hervorgebrachte Resultat	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
делать что-либо видимым	etwas sichtbar machen	Verborgenes erkennbar werden lassen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
что-либо должно стать кому-либо понятным	jemandem muss sich etwas erschließen	die Bedeutung soll erkennbar werden	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
вызывать реакцию	Reaktionen auslösen	bei anderen eine Wirkung hervorrufen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
выражать свои мысли и чувства	seinen Gedanken und Gefühlen Ausdruck verleihen	Inneres erkennbar werden lassen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
выражать свои мысли и чувства (вариант с zum)	seine Gedanken und Gefühle zum Ausdruck bringen	Inneres deutlich zeigen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
обращать внимание на недостатки и злоупотребления	auf Missstände aufmerksam machen	problematische Zustände ins Bewusstsein rücken	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
вносить вклад в общественное развитие	einen Beitrag zur gesellschaftlichen Entwicklung leisten	den sozialen Fortschritt unterstützen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
доносить послание	eine Botschaft übermitteln	einen gemeinten Inhalt weitergeben	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
побуждать к размышлению и интерпретации	zur Reflexion und Interpretation anregen	zum Nachdenken und Deuten bewegen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
растерянно стоять перед чем-либо	irritiert vor etwas stehen	nicht wissen, wie man reagieren soll	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
безуспешно пытаться что-либо сделать	sich vergeblich bemühen, etwas zu tun	trotz Anstrengung keinen Erfolg haben	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
при такой путанице	bei so viel Verworrenheit	angesichts großer Unklarheit	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
при определённых обстоятельствах прийти к какому-либо мнению	unter Umständen zu einer Meinung kommen	möglicherweise diese Auffassung gewinnen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
приятно выделяться на фоне чего-либо	sich wohltuend von etwas abheben	im Vergleich positiv auffallen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
словно заворожённый любоваться чем-либо	wie elektrisiert etwas bestaunen	äußerst fasziniert ansehen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
верить кому-либо/чему-либо	jemandem Glauben schenken	eine Aussage für wahr halten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
быть вынужденным исходить из чего-либо	von etwas ausgehen müssen	eine Annahme zugrunde legen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
оказаться ясным и понятным	sich als klar und verständlich erweisen	letztlich gut nachvollziehbar sein	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
найти доступ к чему-либо, понять что-либо	Zugang zu etwas finden	einen inneren Bezug entwickeln	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
противоречить чему-либо	im Widerspruch zu etwas stehen	mit einer Aussage unvereinbar sein	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
оказывать влияние на общество	einen gesellschaftlichen Einfluss ausüben	soziale Wirkung entfalten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
снять спектакль с репертуара	etwas vom Spielplan nehmen	eine vorgesehene Aufführung streichen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
вызвать кого-либо на сцену, заставить вмешаться	jemanden auf den Plan rufen	eine Person oder Behörde zum Handeln bringen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
хотеть, чтобы акцию воспринимали как художественное действие	eine Aktion als künstlerische Handlung verstanden wissen wollen	auf dieser Deutung bestehen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
затрагивать границы хорошего вкуса	die Grenzen des guten Geschmacks antasten	bewusst an das Anstößige herangehen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
использовать провокацию как средство достижения цели	Provokation als Mittel zum Zweck einsetzen	bewusst schockieren, um Wirkung zu erzielen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
шокировать и вызывать недовольство	verstören und anecken	bewusst Irritation und Widerstand hervorrufen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
достичь своей цели	sein Ziel erreichen	das Beabsichtigte schaffen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
сознательно учитывать возмущённый общественный резонанс	den empörten Aufschrei bewusst einkalkulieren	mit heftiger Entrüstung absichtlich rechnen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
добиться известности	Bekanntheit erlangen	einem breiten Publikum geläufig werden	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
предпринять юридические меры против чего-либо	juristisch gegen etwas vorgehen	rechtliche Schritte einleiten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
права других весят больше	die Rechte anderer wiegen schwerer	fremde Ansprüche haben Vorrang	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
сложное балансирование на грани	eine heikle Gratwanderung	eine riskante Abwägung zwischen Extremen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
глумиться над кем-либо и унижать его	jemanden verhöhnen und herabsetzen	eine Person verspotten und entwürdigen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
размытые границы	fließende Grenzen	keine klare Trennlinie	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
рассматривать каждый случай отдельно	einen Einzelfall gesondert betrachten	individuell statt pauschal urteilen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
без смысла и разума	ohne Sinn und Verstand	völlig unvernünftig	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
ни перед чем не останавливаться	vor nichts Halt machen	jede Schranke missachten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
возвеличивать насилие	Gewalt verherrlichen	brutale Handlungen positiv darstellen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
устанавливать чёткие границы	klare Grenzen setzen	eindeutige Schranken bestimmen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
быть расценённым как укрепление свободы искусства	als Stärkung der Kunstfreiheit gewertet werden	so interpretiert werden, dass kreative Autonomie gewinnt	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
отмахнуться от чего-либо как от ерунды	etwas als Blödsinn abtun	nicht ernst nehmen und abwerten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
неодобрительно скривиться	missbilligend das Gesicht verziehen	Mimik zeigt deutliche Ablehnung	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
нарушать общественные нормы	gegen gesellschaftliche Regeln verstoßen	soziale Vorgaben missachten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
переступать границы	Grenzen übertreten	über das Zulässige hinausgehen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
единогласно выражать возмущение	unisono Empörung äußern	gemeinsam und gleichzeitig protestieren	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
положить чему-либо/кому-либо конец	jemandem Einhalt gebieten	eine Entwicklung oder Person stoppen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
восставать против действующего консенсуса	gegen den geltenden Konsens aufbegehren	sich der vorherrschenden Übereinkunft widersetzen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
испытывать границы допустимого	die Grenzen des Tolerierbaren austesten	prüfen, wie weit man gehen kann	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
нести расходы за что-либо	für etwas aufkommen	die Kosten übernehmen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
обеспечивать кому-либо доступ к доступной культуре	jemandem den Zugang zu bezahlbarer Kultur ermöglichen	Teilnahme trotz geringer Mittel möglich machen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
нести в себе творческий потенциал	kreatives Potenzial in sich tragen	die Anlage zu neuen Ideen besitzen	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
заниматься творческой деятельностью	schöpferisch tätig werden	etwas Neues gestalten	form::redewendung func::produktion topic::kunst_und_kultur level::c2 source::erkundungen::c2::k7 card::chunk
