если судить по ВВП на душу населения	gemessen am Bruttoinlandsprodukt pro Kopf	diesen Wirtschaftsindikator als Maßstab nehmen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
занимать определённое место в мировом рейтинге	weltweit auf einem Platz rangieren	in einer internationalen Liste stehen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
по преданию	der Sage nach	laut einer überlieferten Erzählung	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
влиять на политику	Einfluss auf die Politik nehmen	politische Entscheidungen mitbestimmen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
на муниципальном уровне	auf Gemeindeebene	im Bereich der Kommune	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
голосовать по муниципальному бюджету	über das Haushaltsbudget abstimmen	die kommunalen Finanzen per Votum entscheiden	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
собираться под открытым небом	sich unter freiem Himmel treffen	nicht in einem Gebäude zusammenkommen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
удостоверять свою личность карточкой избирателя	sich mit einer Wahlkarte ausweisen	die Berechtigung zur Stimmabgabe belegen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
подлежать решению	zur Entscheidung stehen	noch verbindlich geklärt werden müssen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
в обязательном порядке выноситься на всенародное голосование	zwingend einer Volksabstimmung unterstehen	nicht ohne direktes Votum entschieden werden dürfen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
подпадать под факультативный референдум	dem fakultativen Referendum unterliegen	nur auf Verlangen direkt entschieden werden	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
потребовать проведения всенародного голосования	eine Volksabstimmung verlangen	ein direktes Votum fordern	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
отправиться на голосование	zur Abstimmung schreiten	seine Stimme offiziell abgeben	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
в знак наличия избирательного права	zum Zeichen der Stimmberechtigung	als sichtbarer Nachweis dieses Rechts	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
служить кому-либо примером	jemandem als Vorbild dienen	ein nachahmenswertes Modell sein	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
легитимировать решение посредством референдума	eine Entscheidung durch eine Volksabstimmung legitimieren	dem Beschluss direkte demokratische Zustimmung geben	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
приобрести слишком большое влияние на население	zu großen Einfluss auf die Bevölkerung gewinnen	die öffentliche Meinung übermäßig bestimmen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
помешать политически необходимым мерам	politisch notwendige Maßnahmen verhindern	erforderliche Schritte blockieren	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
учитывать аргументы собеседника	auf die Argumente des Gesprächspartners eingehen	dessen Punkte konkret aufgreifen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
требовать организационных и медийных мер	organisatorische und medienspezifische Maßnahmen erfordern	praktische und kommunikative Schritte nötig machen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
ограничиваться чётко очерченными проблемами	sich auf sachlich eingegrenzte Probleme beschränken	nur klar definierte Themen behandeln	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
предоставить кому-либо заниматься политикой	jemandem die Politik überlassen	die politische Gestaltung anderen anvertrauen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
охватывать все группы населения	alle Bevölkerungsgruppen umfassen	niemanden gesellschaftlich ausschließen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
считать себя рупором информационного общества	sich als Sprachrohr der Informationsgesellschaft verstehen	für deren Anliegen sprechen wollen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
пронизывать повседневную жизнь	den Alltag durchdringen	in fast allen Lebensbereichen präsent sein	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
брать начало от гражданской инициативы	auf eine Bürgerinitiative zurückgehen	daraus entstanden sein	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
не получить со стороны политики должного внимания	von der Politik nicht im geeigneten Umfang aufgegriffen werden	nicht ausreichend behandelt werden	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
дать голос собственной позиции	der eigenen Haltung eine Stimme geben	die persönliche Auffassung hörbar machen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
искать единомышленников	Gleichgesinnte suchen	Menschen mit ähnlicher Haltung finden wollen	form::redewendung func::produktion topic::politisches_und_amtliches level::c2 source::erkundungen::c2::k8 card::chunk
