explizit	implizit
präzise	vage
differenziert	pauschal
tiefgründig	oberflächlich
subtil	plump
komplex	einfach
plausibel	unplausibel
stichhaltig	unstichhaltig
legitim	illegitim
zulässig	unzulässig
wesentlich	unwesentlich
zwingend	fakultativ
transparent	intransparent
flexibel	unflexibel
kompatibel	inkompatibel
effizient	ineffizient
produktiv	kontraproduktiv
relevant	irrelevant
nachhaltig	kurzfristig
kohärent	widersprüchlich
friedlich	gewaltsam
integrativ	ausgrenzend
solidarisch	egoistisch
konstruktiv	destruktiv
freiwillig	erzwungen
einvernehmlich	konfrontativ
offenkundig	verborgen
zugänglich	unzugänglich
aufgeschlossen	verschlossen
sachlich	emotional
nüchtern	pathetisch
beharrlich	wankelmütig
konsequent	inkonsequent
umsichtig	leichtsinnig
bedacht	unbedacht
rücksichtsvoll	rücksichtslos
besonnen	impulsiv
souverän	unsicher
anpassungsfähig	starr
eigenständig	abhängig
befristet	unbefristet
vorläufig	endgültig
stabil	instabil
robust	anfällig
authentisch	gekünstelt
glaubwürdig	unglaubwürdig
verlässlich	unzuverlässig
gerecht	ungerecht
diskret	indiskret
förderlich	hinderlich
begünstigen	behindern
fördern	hemmen
beschleunigen	verlangsamen
bestätigen	widerlegen
verdeutlichen	verschleiern
verschärfen	entschärfen
stabilisieren	destabilisieren
ausweiten	einschränken
vereinheitlichen	differenzieren
verdichten	auflockern
bewahren	zerstören
anerkennen	aberkennen
einbeziehen	ausschließen
zulassen	unterbinden
ermöglichen	verhindern
offenlegen	verheimlichen
befürworten	ablehnen
zustimmen	widersprechen
unterstützen	hintertreiben
festigen	untergraben
annähern	entfremden
verbinden	trennen
integrieren	isolieren
stärken	schwächen
aufwerten	entwerten
etablieren	abschaffen
wahren	verletzen
rechtfertigen	beanstanden
stabilität	instabilität
überfluss	mangel
konsens	dissens
nähe	distanz
freiheit	abhängigkeit
offenheit	abschottung
gerechtigkeit	ungerechtigkeit
sicherheit	unsicherheit
vertrauen	misstrauen
akzeptanz	ablehnung
zustimmung	widerspruch
transparenz	geheimhaltung
fortschritt	rückschritt
wohlstand	armut
ordnung	chaos
toleranz	intoleranz
pluralität	einförmigkeit
zuversicht	resignation
anspruch	bescheidenheit
beweglichkeit	trägheit
abstrakt	konkret
ambivalent	eindeutig
ambitioniert	anspruchslos
analytisch	intuitiv
angemessen	unangemessen
anonym	persönlich
anregend	ermüdend
anschaulich	abstrakt
anspruchsvoll	leicht
attraktiv	unattraktiv
autonom	fremdbestimmt
bedeutsam	belanglos
befangen	unbefangen
begrenzt	unbegrenzt
behutsam	rabiat
bekräftigen	relativieren
beleben	lähmen
belohnen	bestrafen
bemerkenswert	unauffällig
beruhigen	beunruhigen
bescheiden	überheblich
beständig	flüchtig
dezent	aufdringlich
direkt	indirekt
diskutabel	unumstritten
dominant	zurückhaltend
dringlich	nachrangig
durchdacht	unreflektiert
dynamisch	statisch
effektiv	wirkungslos
eigenwillig	angepasst
einheitlich	uneinheitlich
einleuchtend	abwegig
einprägsam	vergesslich
einseitig	ausgewogen
emanzipiert	abhängig
emotional	kühl
engstirnig	weltoffen
entschlossen	zögerlich
entspannen	anspannen
entwerten	aufwerten
erheblich	geringfügig
erquicklich	belastend
erweitern	verengen
explodieren	abflauen
exportieren	importieren
extrem	moderat
faires	ungerechtes
feindselig	wohlwollend
feinfühlig	taktlos
fein	derb
festigen	lockern
flüchtig	gründlich
flüssig	stockend
formal	informell
fortschrittlich	rückständig
freimütig	zurückhaltend
friedfertig	streitlustig
fruchtbar	unergiebig
funktional	dysfunktional
fundiert	haltlos
geborgen	verloren
geduldig	ungeduldig
gefestigt	labil
gehemmt	ungezwungen
gekonnt	ungeschickt
gelassen	nervös
gemeinnützig	eigennützig
genau	ungenau
geordnet	unübersichtlich
geradlinig	verschlagen
gering	erheblich
geschickt	plump
geschmeidig	spröde
gesellig	einzelgängerisch
gewandt	ungelenk
gewinnbringend	defizitär
gewiss	ungewiss
gezielt	planlos
gründlich	flüchtig
handfest	vage
hartnäckig	nachgiebig
heiter	düster
heterogen	homogen
hochmütig	demütig
höflich	unhöflich
human	inhuman
ideell	materiell
illegal	legal
imposant	unauffällig
impulsiv	kontrolliert
individuell	kollektiv
informiert	ahnungslos
innovativ	überholt
intakt	beschädigt
intensiv	flüchtig
interessiert	gleichgültig
klar	verworren
kooperativ	blockierend
kreativ	schematisch
kritisch	unkritisch
kühl	emotional
kunstvoll	plump
kurzsichtig	weitsichtig
labil	stabil
langfristig	kurzfristig
lebhaft	träge
leiden	genießen
leistungsfähig	schwach
liberal	autoritär
locker	verkrampft
loyal	illoyal
maßvoll	exzessiv
massiv	fragil
materialistisch	idealistisch
methodisch	unstrukturiert
misslingen	gelingen
mobil	unbeweglich
moderat	radikal
naheliegend	fernliegend
nüchtern	emotional
offensiv	defensiv
