etwas fällt einer Sache zum Opfer	115	A2	redewendung
auf jede Minute ankommen	115	A2	redewendung
einen Sport aus etwas machen	115	A2	redewendung
etwas im Schnelldurchlauf erledigen	115	A2	redewendung
etwas zunichtemachen	115	A2	redewendung
wertvolle Sekunden einsparen	115	A2	redewendung
wenn es richtig reinhauen soll	116	A2	redewendung
nur ein Anfang sein	116	A2	redewendung
weitgehend wartungsfrei sein	116	A2	redewendung
jemandem etwas zur Last legen	117	A4	redewendung
mit einer Idee hausieren gehen	117	A4	redewendung
ein überwältigender Erfolg	117	A4	redewendung
mit einer guten Idee allein ist es nicht getan	117	A4	redewendung
etwas im Sinn haben	117	A4	redewendung
die Finger von etwas lassen	118	A4	redewendung
für eine Art Haftung sorgen	118	A4	redewendung
in irgendeiner Schublade vergessen werden	118	A4	redewendung
aus etwas nicht mehr wegzudenken sein	118	A4	redewendung
nichts mit etwas anzufangen wissen	118	A4	redewendung
aus Versehen	118	A4	redewendung
nicht schlecht staunen	120	A8	redewendung
auf reichlich Abfall stoßen	120	A8	redewendung
eine weite Reise hinter sich haben	120	A8	redewendung
etwas in neue Lebensräume verfrachten	120	A8	redewendung
neue Mosaiksteine für ein Bild liefern	120	A8	redewendung
sich ein Bild von den Folgen machen	120	A8	redewendung
schätzungsweise mehr als zehn Prozent	120	A8	redewendung
achtlos im Gelände verteilt werden	120	A8	redewendung
weite Strecken zurücklegen	121	A8	redewendung
sich komplett dem Floßleben verschreiben	121	A8	redewendung
keineswegs für alle gelten	121	A8	redewendung
sich in Muscheln anreichern	121	A8	redewendung
hormonartige Wirkungen entfalten	121	A8	redewendung
jemandem das Leben kosten	121	A8	redewendung
mit bisher ungeklärten Folgen	121	A8	redewendung
es scheint einen Hoffnungsschimmer zu geben	121	A8	redewendung
nach Ansicht der Forscher	121	A8	redewendung
ein Tropfen auf den heißen Stein sein	121	A8	redewendung
ein Problem angehen	121	A8	redewendung
erst gar nicht im Meer landen	121	A8	redewendung
jemandem Schaden zufügen	123	A9	redewendung
unmittelbar zusammenhängen	125	A12	redewendung
auf den Ausbau von Grünflächen setzen	125	A12	redewendung
kaum Berücksichtigung finden	125	A12	redewendung
ein Umdenken erfordern	126	A14	redewendung
in erster Linie um die Bewältigung des Alltags gehen	126	A14	redewendung
Lasten gerecht verteilen	126	A15	redewendung
die Kosten für Umweltschäden tragen	126	A15	redewendung
jemandem seinen Standpunkt klarmachen	126	A15	redewendung
von einer Krankheit verschont bleiben	127	A16	redewendung
gegen bekannte Erreger Antikörper bilden	127	A16	redewendung
den Geheimnissen der Vererbung auf die Spur kommen	127	A16	redewendung
jemandem fällt auf, dass	127	A16	redewendung
eine neue Wissenschaft begründen	127	A16	redewendung
in den Mittelpunkt des Weltbildes rücken	127	A16	redewendung
etwas durch Beobachtungen herausfinden	127	A16	redewendung
das komplexe Zusammenspiel beschreiben	127	A16	redewendung
eines der größten Rätsel der Medizin lösen	128	A16	redewendung
körperliche Beschwerden auslösen	128	A16	redewendung
für etwas verantwortlich gemacht werden	128	A16	redewendung
eine folgenreiche Beobachtung machen	128	A16	redewendung
das Innere des Körpers durchleuchten	128	A16	redewendung
allein durch die Kraft seiner Gedanken	130	A20	redewendung
eine sichtbare Erfolgskontrolle	130	A20	redewendung
die eigene Gehirntätigkeit gezielt beeinflussen	130	A20	redewendung
Kräfte schlummern in uns	130	A20	redewendung
Heilungsprozesse laufen ab	130	A20	redewendung
etwas als selbstverständlich ansehen	130	A20	redewendung
der Blutstrom einer offenen Wunde versiegt	130	A20	redewendung
Defekte in der Erbsubstanz reparieren	130	A20	redewendung
eine schmerzhafte Verletzung verheilt	130	A20	redewendung
eine Balance besteht zwischen zwei Prozessen	130	A20	redewendung
etwas auf das Normalmaß zurückbringen	130	A20	redewendung
aus dem Gleichgewicht geraten	130	A20	redewendung
die Balance wiederherstellen	130	A20	redewendung
Psyche und Körper sind eine Einheit.	130	A20	satz
Stress vermeiden oder abbauen	130	A20	redewendung
Selbstheilungskräfte wecken	130	A20	redewendung
sich als besonders wirksame Methode herausstellen	130	A20	redewendung
das subjektive Stressempfinden sinkt deutlich	130	A20	redewendung
die Dichte der grauen Substanz nimmt zu	130	A20	redewendung
gängige Beschwerden	131	A20	redewendung
positive Botschaften zu hören bekommen	131	A20	redewendung
Worte können nachweislich wie Medikamente wirken.	131	A20	satz
ein offenes Ohr	131	A20	redewendung
die Morphium-Vorräte gehen zu Ende	131	A20	redewendung
jemanden in dem Glauben lassen, dass	131	A20	redewendung
Schmerzen lindern	131	A20	redewendung
auf der pharmazeutischen Substanz eines Mittels beruhen	131	A20	redewendung
landläufig als Einbildung bezeichnet werden	131	A20	redewendung
die Kraft der eigenen Gedanken nutzen	131	A20	redewendung
nachweislich Erfolge erzielen	131	A20	redewendung
etwas vor dem inneren Auge erscheinen lassen	131	A20	redewendung
von einer Methode überzeugt sein	131	A20	redewendung
von der Persönlichkeit abhängen	131	A20	redewendung
auf eine Behandlung ansprechen	131	A20	redewendung
Wohlgefühl erzeugen	131	A20	redewendung
sich ausdrücklich für den Einsatz von etwas aussprechen	131	A20	redewendung
Nutzen aus etwas ziehen	131	A20	redewendung
