ermitteln	vermitteln
meiden	vermeiden
erinnern	sich erinnern
kennen	wissen
lernen	lehren
stellen	legen
setzen	sitzen
liegen	legen
stehen	stellen
bringen	holen
suchen	finden
versuchen	suchen
wählen	zählen
zahlen	bezahlen
bezahlen	ausgeben
kennenlernen	erfahren
erfahren	lernen
erzählen	sagen
sagen	sprechen
reden	sprechen
denken	glauben
meinen	bedeuten
bedeuten	bezeichnen
zeigen	ziehen
ziehen	umziehen
tragen	anziehen
tragen	ertragen
anbieten	verbieten
bitten	anbieten
bieten	bitten
verbringen	mitbringen
verlassen	hinterlassen
aufhören	gehören
gehören	hören
zuhören	anhören
umfahren	umfahren
umgehen	vermeiden
vergleichen	gleichen
wechseln	ändern
ändern	verändern
verbessern	sich verbessern
entwickeln	sich entwickeln
entscheiden	sich entscheiden
treffen	sich treffen
sich fühlen	fühlen
steigen	erhöhen
senken	sinken
sinken	versinken
steigen	klettern
schaffen	können
können	wissen
dürfen	sollen
müssen	sollen
brauchen	benötigen
verwenden	benutzen
nutzen	genießen
gebrauchen	benutzen
erledigen	beenden
enden	beenden
verhindern	vermeiden
warnen	drohen
drohen	bedrohen
fordern	fördern
verlangen	fordern
unterstützen	fördern
ausmachen	anmachen
abmachen	ausmachen
einfallen	auffallen
empfehlen	vorschlagen
vorstellen	darstellen
herstellen	vorstellen
vorbereiten	sich vorbereiten
erklären	beschreiben
beschreiben	umschreiben
beobachten	achten
beachten	beobachten
ausdrücken	drücken
berichten	beschreiben
bewerben	anwerben
sich bewerben	bewerben
bestellen	buchen
buchen	reservieren
mieten	vermieten
leihen	ausleihen
ausleihen	verleihen
lehren	unterrichten
studieren	lernen
prüfen	testen
untersuchen	ermitteln
entdecken	erfinden
erfinden	entdecken
erkennen	anerkennen
erklären	klären
ankündigen	kündigen
kündigen	absagen
ablehnen	verzichten
aufgeben	abgeben
abholen	aufholen
warten	erwarten
kennen	erkennen
